Datums_Laiks;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
18.02.2021;-9.7;-10;-10.2;-10.3;-11.2;-11.2;-11.8;-12.7;-13.7;-13.6;-12.6;-12.3;-10.7;-10.4;-9.2;-8.7;-8;-8.5;-9.7;-10.8;-11.8;-12.3;-12.6;-13
19.02.2021;-13.4;-13.7;-14.1;-14.2;-13.9;-13.8;-13.6;-13.4;-13;-12;-10.7;-8.9;-7.6;-6.7;-5.8;-4.4;-4.2;-4.3;-4.1;-3.8;-3.5;-3.5;-3.3;-3.4
20.02.2021;-3.5;-3.4;-3.6;-3.7;-4;-3.7;-3.6;-3.5;-3.2;-2.8;-1.9;-0.9;0.5;0.8;1.1;1.2;1.6;1.5;1.8;2.1;2.2;2.1;2.2;3.5
21.02.2021;3.8;3;3.5;2.9;2.7;2;3.2;2.5;2.3;3.3;4.1;4.2;4.4;4.4;4.1;5.2;5.1;5;4.3;4.3;4;3.9;4.1;4.4
22.02.2021;3.5;2;2.8;2.6;2.6;2.5;2.4;2.5;2.7;2;2.5;3.1;3.3;4.1;4;4.3;2.4;1.5;1;4;2.3;1.6;1.3;1.2
23.02.2021;0.9;0.8;0.7;0.7;0.4;0.7;1.1;1.3;1.7;2.3;3.4;4.8;5.2;5.6;5.9;4.1;3.2;3.3;3.1;3.2;3.4;2.9;2.8;2.3
24.02.2021;2.4;2.2;2.5;2.4;2;2.2;2;2.3;1.5;2.7;2.6;3;2.9;2.9;5;4.7;5.4;4.8;3.8;3.7;3.2;2.9;3.3;3.8
25.02.2021;3.6;3.4;3.7;3.5;3.4;3.3;3.8;4.2;3.7;4.1;4.2;5.1;4.3;4.7;5;5.2;3.9;5.7;5.5;5.8;4.7;3.9;3.7;3.6
26.02.2021;3.7;3.4;4;4;3.6;3.7;3.2;2.9;3;3.1;3.1;3.6;3.7;3.7;3.8;3.9;3.9;3.4;3.1;3.1;3.2;3.1;3.5;3.6
27.02.2021;3.2;2.8;2.6;2.8;2.5;2.4;2.4;2.1;2.1;2.4;2.5;2.6;2.7;3;3.4;3.3;2.6;2.5;1.9;1.8;2;2;2.4;2.6
